item_id,domain,difficulty,question,answer,answer_type,metacog_probe
M089,biology,medium,What is the universal recipient blood type?,AB positive,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M090,biology,easy,What pigment is primarily responsible for photosynthesis?,chlorophyll,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M091,biology,easy,What is the largest organ in the human body?,skin,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M092,biology,medium,Which part of the brain coordinates balance?,cerebellum,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M093,biology,easy,What protein carries oxygen in red blood cells?,hemoglobin,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M094,biology,easy,What type of cell division produces gametes?,meiosis,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M095,biology,easy,What type of cell division produces somatic cells?,mitosis,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M096,biology,medium,Approximately how many bones are in an adult human body?,206,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M097,biology,hard,What is the term for programmed cell death?,apoptosis,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M098,biology,easy,Which organ filters blood to produce urine?,kidneys,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M099,biology,easy,Which body system includes the heart and blood vessels?,circulatory system,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M100,biology,easy,Which hormone is primarily responsible for lowering blood glucose?,insulin,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M101,astronomy,easy,What is the star at the center of our solar system?,Sun,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M102,astronomy,easy,How many planets are in the solar system?,8,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M103,astronomy,easy,What is the largest planet in the solar system?,Jupiter,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M104,astronomy,easy,Which planet is known as the Red Planet?,Mars,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M105,astronomy,easy,What is Earth's natural satellite?,Moon,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M106,astronomy,easy,What galaxy contains the solar system?,Milky Way,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M107,astronomy,medium,What is the closest star to the Sun?,Proxima Centauri,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M108,astronomy,easy,Which planet is famous for its rings?,Saturn,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M109,astronomy,medium,Name the dwarf planet located in the asteroid belt.,Ceres,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M110,astronomy,medium,What is a light-year?,distance light travels in one year,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M111,astronomy,easy,Which planet is the hottest in the solar system?,Venus,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M112,astronomy,easy,What is a rocky object that burns in Earth's atmosphere called?,meteor,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M113,astronomy,medium,What is a small rocky object in space called before entering the atmosphere?,meteoroid,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M114,astronomy,easy,What are comets primarily made of?,ice and dust,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M115,astronomy,medium,What is the nearest large galaxy to the Milky Way?,Andromeda,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M116,astronomy,easy,Which planet is farthest from the Sun?,Neptune,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M117,astronomy,medium,What term refers to the boundary around a black hole beyond which light cannot escape?,event horizon,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M118,astronomy,medium,What is the approximate age of the universe (billions of years)?,13.8,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M119,astronomy,easy,Which planet has the Great Red Spot?,Jupiter,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M120,astronomy,easy,Which mission first landed humans on the Moon?,Apollo 11,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M121,math,easy,What is 12 x 7?,84,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M122,math,easy,What is 9 squared?,81,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M123,math,easy,What is the square root of 144?,12,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M124,math,easy,What is 15% of 200?,30,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M125,math,easy,Solve for x: 2x + 5 = 17,6,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M126,math,medium,What is 7 factorial (7!)?,5040,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M127,math,medium,What is the greatest common divisor of 54 and 24?,6,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M128,math,medium,What is the least common multiple of 6 and 8?,24,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M129,math,medium,What is the next prime number after 47?,53,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M130,math,easy,What is the sum of interior angles of a triangle (degrees)?,180,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M131,math,medium,What is 2^10?,1024,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M132,math,easy,What is pi to four decimal places?,3.1416,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M133,math,easy,Convert 0.75 to a fraction in simplest form.,3/4,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M134,math,medium,What is the area of a circle of radius 3 in terms of pi?,9pi,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M135,math,medium,What is the derivative of x^2?,2x,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M136,math,easy,What is log10(1000)?,3,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M137,math,easy,"What is the median of 1, 3, 5, 7, 9?",5,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M138,math,easy,What is the Roman numeral for 50?,L,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M139,math,easy,Solve for x: x/4 = 3,12,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M140,math,easy,How many degrees are in a full circle?,360,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M141,literature,easy,Who wrote '1984'?,George Orwell,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M142,literature,easy,Who wrote 'Pride and Prejudice'?,Jane Austen,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M143,literature,medium,Who wrote 'Moby-Dick'?,Herman Melville,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M144,literature,easy,Who wrote 'Hamlet'?,William Shakespeare,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M145,literature,medium,Who wrote 'The Odyssey'?,Homer,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M146,literature,medium,Who wrote 'Don Quixote'?,Miguel de Cervantes,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M147,literature,medium,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M148,literature,medium,Who wrote 'The Trial'?,Franz Kafka,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M149,literature,easy,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M150,literature,medium,Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M151,literature,easy,Who wrote 'The Catcher in the Rye'?,J.D. Salinger,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M152,literature,medium,Who wrote 'The Divine Comedy'?,Dante Alighieri,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M153,literature,easy,Who wrote 'The Lord of the Rings'?,J.R.R. Tolkien,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M154,literature,easy,Who wrote 'The Hobbit'?,J.R.R. Tolkien,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M155,literature,medium,Who wrote 'War and Peace'?,Leo Tolstoy,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M156,literature,medium,Who wrote 'The Iliad'?,Homer,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M157,literature,easy,Who wrote 'Brave New World'?,Aldous Huxley,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M158,literature,medium,Who wrote 'The Metamorphosis'?,Franz Kafka,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M159,literature,easy,Who wrote 'To Kill a Mockingbird'?,Harper Lee,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M160,literature,medium,Who wrote 'The Little Prince'?,Antoine de Saint-Exupery,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M161,arts,easy,Who painted the 'Mona Lisa'?,Leonardo da Vinci,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M162,arts,easy,Who painted 'The Starry Night'?,Vincent van Gogh,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M163,arts,medium,Who painted 'The Persistence of Memory'?,Salvador Dali,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M164,arts,medium,Who painted 'Guernica'?,Pablo Picasso,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M165,arts,easy,Who painted 'The Scream'?,Edvard Munch,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M166,arts,medium,Who painted 'The Birth of Venus'?,Sandro Botticelli,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M167,arts,easy,Who composed 'Fur Elise'?,Ludwig van Beethoven,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M168,arts,easy,Who composed 'The Four Seasons'?,Antonio Vivaldi,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M169,arts,easy,Who composed the 'Requiem' (K.626)?,Wolfgang Amadeus Mozart,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M170,arts,easy,Who composed 'Swan Lake'?,Pyotr Ilyich Tchaikovsky,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M171,arts,easy,Who sculpted 'David'?,Michelangelo,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M172,arts,medium,Who painted 'Girl with a Pearl Earring'?,Johannes Vermeer,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M173,arts,medium,Who painted 'American Gothic'?,Grant Wood,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M174,arts,medium,Who painted 'The Night Watch'?,Rembrandt van Rijn,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M175,arts,medium,Which artist created the 'Campbell's Soup Cans'?,Andy Warhol,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M176,arts,medium,Who composed 'Bolero'?,Maurice Ravel,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M177,arts,medium,Who composed 'Ride of the Valkyries'?,Richard Wagner,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M178,arts,easy,Who painted the 'Water Lilies' series?,Claude Monet,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M179,arts,easy,Who composed 'The Magic Flute'?,Wolfgang Amadeus Mozart,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M180,arts,easy,Who painted 'The Last Supper'?,Leonardo da Vinci,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M181,computing,easy,What does CPU stand for?,Central Processing Unit,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M182,computing,easy,What does RAM stand for?,Random Access Memory,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M183,computing,easy,What does HTTP stand for?,Hypertext Transfer Protocol,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M184,computing,easy,What does GPU stand for?,Graphics Processing Unit,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M185,computing,easy,What is the binary representation of decimal 5?,101,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M186,computing,easy,What does SQL stand for?,Structured Query Language,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M187,computing,easy,What is the standard port for HTTP?,80,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M188,computing,easy,What is the standard port for HTTPS?,443,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M189,computing,easy,What does JSON stand for?,JavaScript Object Notation,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M190,computing,easy,What does API stand for?,Application Programming Interface,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M191,computing,easy,Which Unix command lists files in the current directory?,ls,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M192,computing,easy,What does URL stand for?,Uniform Resource Locator,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M193,computing,easy,What is the base of hexadecimal?,16,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M194,computing,medium,What is the ASCII code for capital letter A?,65,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M195,computing,medium,Where was the C programming language developed?,Bell Labs,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M196,computing,easy,Who created the Linux kernel?,Linus Torvalds,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M197,computing,medium,Who co-founded Microsoft (two names)?,Bill Gates and Paul Allen,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M198,computing,easy,What is the main markup language for web pages?,HTML,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M199,computing,easy,What does DNS stand for?,Domain Name System,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M200,computing,easy,What is the file extension for Python source files?,.py,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
