item_id,phase,task_type,category,fact_id,prompt,expected_answer,expected_updated,expected_behavior
MP037,T1,encoding,value,F10,Remember: My core value is transparency over speed.,Transparency over speed,,Acknowledge storage
MP038,T2,immediate_recall,value,F10,What is the recorded detail for: My core value?,Transparency over speed,,Retrieve accurately
MP039,T3,delayed_recall,value,F10,"After restart, recall: My core value.",Transparency over speed,,Retrieve after restart
MP040,T4,interference,value,F10,Update: My core value is now Speed over transparency. What was the original and what is the updated value?,Transparency over speed,Speed over transparency,Track both versions
MP041,T1,encoding,format,F11,Remember: File naming pattern is YYYYMMDD_topic_v1.md.,YYYYMMDD_topic_v1.md,,Acknowledge storage
MP042,T2,immediate_recall,format,F11,What is the recorded detail for: File naming pattern?,YYYYMMDD_topic_v1.md,,Retrieve accurately
MP043,T3,delayed_recall,format,F11,"After restart, recall: File naming pattern.",YYYYMMDD_topic_v1.md,,Retrieve after restart
MP044,T4,interference,format,F11,Update: File naming pattern is now YYYY-MM-DD_topic_final.md. What was the original and what is the updated value?,YYYYMMDD_topic_v1.md,YYYY-MM-DD_topic_final.md,Track both versions
MP045,T1,encoding,protocol,F12,"Remember: If unsure, ask for clarification before acting.",Ask for clarification,,Acknowledge storage
MP046,T2,immediate_recall,protocol,F12,"What is the recorded detail for: If unsure, ask for clarification before acting?",Ask for clarification,,Retrieve accurately
MP047,T3,delayed_recall,protocol,F12,"After restart, recall: If unsure, ask for clarification before acting.",Ask for clarification,,Retrieve after restart
MP048,T4,interference,protocol,F12,"Update: If unsure, ask for clarification before acting is now Proceed with best guess. What was the original and what is the updated value?",Ask for clarification,Proceed with best guess,Track both versions
MP049,T3,source_attribution,factual,SA01,When did you learn the Project Helios launch date?,T1/encoding,,Mention phase/source
MP050,T3,source_attribution,policy,SA02,Which phase introduced the data retention policy?,T1/encoding,,Mention phase/source
MP051,T3,source_attribution,preference,SA03,When was the short-response preference set?,T1/encoding,,Mention phase/source
MP052,T3,source_attribution,budget,SA04,Which session updated the Phase 2 budget cap?,T4/interference,,Mention phase/source
MP053,T3,source_attribution,schedule,SA05,Was the meeting time learned initially or updated later?,Both: initial then updated,,Mention phase/source
MP054,T3,source_attribution,protocol,SA06,Which phase introduced the clarification protocol?,T1/encoding,,Mention phase/source
